Office,Office Location,Bookshelves,Category,Title,Author,Publisher,Edition,Year,Quantity,Pages,Book No
"12, Old Post Office St.",Near High Court,DM/1,Book,Anti rape and sexual assault laws (BARE ACT),,,,2016,,,C12/18
"12, Old Post Office St.",Near High Court,DM/1,Book,Bharatiya nagarik suraksha sanhita 2023 (BARE ACT),,,,2024,,,C12/19
"12, Old Post Office St.",Near High Court,DM/1,Book,Bharatiya nyay sanhita 2023 (BARE ACT),,,,2024,,,C12/20
"12, Old Post Office St.",Near High Court,ST/3,Book,The code of criminal procedure 1973 (BARE ACT),,,,2015,,,C12/21
"12, Old Post Office St.",Near High Court,AKD/14,Book,The code of criminal procedure 1973 (BARE ACT),,,,2021,,,C12/22
"12, Old Post Office St.",Near High Court,AKD/1,Book,"Commentary on the commercial courts act,2015",M.V. Durgaprasad,,6th,2021,,,C13/1
"12, Old Post Office St.",Near High Court,DD/1,Book,"The commercial courts act,2015(BARE ACT)",,,,2022,,,C13/2
"12, Old Post Office St.",Near High Court,SG/3,Book,"The commercial courts act,2015(BARE ACT)",,,,2020,,,C13/3
"12, Old Post Office St.",Near High Court,LIB/3,Book,General and commercial laws (BARE ACT),,,,2005,,,C13/4
"12, Old Post Office St.",Near High Court,DM/1,Book,"The Commercial courts act,2015(BARE ACT)",,,,2021,,,C13/5
"12, Old Post Office St.",Near High Court,DM/1,Book,The Commercial courts act,,,,2018,,,C13/6
"12, Old Post Office St.",Near High Court,DM/1,Book,The High Court at Calcutta commercial court practice directions 2021,,,,2024,,,C13/7
"12, Old Post Office St.",Near High Court,RG/1,Book,"The Commercial courts act, 2015",,,,2018,,,C13/8
"12, Old Post Office St.",Near High Court,AKD/14,Book,"The Commercial courts act, 2015 (BARE ACT)",,,,2019,,,C13/9
"12, Old Post Office St.",Near High Court,AKD/14,Book,"The Commercial courts act, 2015 (BARE ACT)",,,,2019,,,C13/10
"12, Old Post Office St.",Near High Court,AKD/1,Book,Compendium of regulations,,,,,,,C14/1
"12, Old Post Office St.",Near High Court,CONF1,Book,Compendium of service benefits and obligations,,,4th,2002,,,C14/2
"12, Old Post Office St.",Near High Court,AKD/1,Book,Law relating to computers internet and e-commerce,Nandan Kamath,,,2000,,,C15/1
"12, Old Post Office St.",Near High Court,DM/1,Book,Rules relating to computerisation of cause list of the original side and appellate side,,,,2011,,,C15/2
"12, Old Post Office St.",Near High Court,ST/3,Book,Rules relating to computerised listing of cause list of appellate side (BARE ACT),,,,2021,,,C15/3
"12, Old Post Office St.",Near High Court,AKD/1,Book,"Competition act, 2002",V.K. Agarwal,,,2011,,,C16/1
"12, Old Post Office St.",Near High Court,DD/1,Book,"The competition act, 2002 (BARE ACT)",,,,2019,,,C16/2
"12, Old Post Office St.",Near High Court,DD/1,Book,"The competition act, 2002 (BARE ACT)",,,,2020,,,C16/3
